'TAR','Tarmac United'
,
,
'OUT','Outkasts'
'EFC','Euro FC'
'SEL','Selecao'
'PFC','Power Soccer FC'
'LEQ','L\'Equipe DeReve'
'OSH','O\'Shea\'s Celtic'
'VIC','Victorious Secret'
'HAW','Hawks'
'LFC','Lions FC'
'RBC','Real Boca'
,
'LAD','The Lads'
'ZTN','Ztnuc FC'
'TNM','TNM United'
'BER','Berman and Berman'
'ASP','Atletico San Pancho'
'BOC','Boca City FC'
'ORA','Orange FC'
'ZIM','Zimbabwean Trillionaires'
'FED','La Fed'
'PBC','Palm Beach Chiros'
'UNS','FC United Nations'
'PBU','Palm Beach United'
'BOY','Boynton Tropics'
'TRD','The Red Diablos'
'ATL','Atletic Club'
'OSS','O\'Shea\'s Stumblers'
'AUT','Authentic Soccer FC'
,
'FPF','Flamingo Park FC'
